ID,NAME,GENDER,KOREAN_GRADE,ENGLISH_GRADE,MATH_GRADE
100001,Liam,M,89,16,66
100002,Emma,F,46,27,4
100003,Noah,M,44,58,52
100004,Olivia,F,3,2,26
100005,Ava,F,41,88,58
100006,William,M,78,36,20
100007,Isabella,F,67,59,90
100008,Sophia,F,45,97,77
100009,James,M,83,69,50
100010,Oliver,M,90,15,26
100011,Benjamin,M,35,43,51
100012,Charlotte,F,99,9,37
100013,Elijah,M,42,76,40
100014,Mia,F,80,87,72
100015,Lucas,M,24,28,98
100016,Mason,M,89,87,44
100017,Logan,M,80,74,49
100018,Amelia,F,44,79,1
100019,Alexander,M,37,61,32
100020,Ethan,M,59,43,48
100021,Jacob,M,9,42,32
100022,Michael,M,58,8,10
100023,Daniel,M,31,72,95
100024,Henry,M,12,81,78
100025,Harper,F,59,86,62
100026,Evelyn,F,53,89,75
100027,Jackson,M,20,2,51
100028,Sebastian,M,48,91,63
100029,Aiden,M,43,57,65
100030,Matthew,M,82,5,96
100031,Abigail,F,86,15,52
100032,Samuel,M,53,54,48
100033,David,M,80,88,35
100034,Joseph,M,24,46,82
100035,Carter,M,37,0,38
100036,Owen,M,90,88,54
100037,Wyatt,M,15,14,61
100038,John,M,31,64,21
100039,Jack,M,72,76,1
100040,Emily,F,56,35,13
100041,Luke,M,35,70,29
100042,Jayden,M,96,81,16
100043,Dylan,M,72,75,0
100044,Grayson,M,54,62,91
100045,Elizabeth,F,61,11,96
100046,Levi,M,54,1,73
100047,Isaac,M,1,15,14
100048,Gabriel,M,50,71,71
100049,Julian,M,92,13,99
100050,Mateo,M,96,83,70
100051,Mila,F,80,94,67
100052,Ella,F,99,96,35
100053,Avery,F,64,43,88
100054,Anthony,M,39,18,91
100055,Jaxon,M,20,53,28
100056,Sofia,F,59,28,79
100057,Camila,F,79,76,55
100058,Aria,F,3,99,98
100059,Lincoln,M,17,55,52
100060,Joshua,M,39,66,52
100061,Christopher,M,1,2,37
100062,Andrew,M,17,72,54
100063,Scarlett,F,83,72,33
100064,Victoria,F,81,59,8
100065,Madison,F,65,10,61
100066,Theodore,M,42,54,20
100067,Caleb,M,82,27,13
100068,Ryan,M,81,79,13
100069,Luna,F,83,35,8
100070,Asher,M,53,88,70
100071,Nathan,M,20,37,2
100072,Thomas,M,58,71,9
100073,Grace,F,11,16,0
100074,Leo,M,70,22,71
100075,Chloe,F,88,41,38
100076,Isaiah,M,83,26,56
100077,Charles,M,92,97,78
100078,Josiah,M,28,43,92
100079,Hudson,M,93,65,39
100080,Christian,M,57,33,10
100081,Penelope,F,92,48,60
100082,Layla,F,81,97,5
100083,Hunter,M,62,26,94
100084,Connor,M,92,20,4
100085,Eli,M,18,5,69
100086,Ezra,M,52,93,94
100087,Riley,F,22,77,75
100088,Aaron,M,13,10,87
100089,Zoey,F,30,57,70
100090,Landon,M,84,49,22
100091,Nora,F,55,92,64
100092,Adrian,M,15,97,46
100093,Jonathan,M,86,49,51
100094,Lily,F,45,29,40
100095,Eleanor,F,24,64,83
100096,Hannah,F,32,80,19
100097,Nolan,M,50,10,57
100098,Jeremiah,M,74,8,26
100099,Lillian,F,31,49,97
100100,Easton,M,77,59,16
100101,Elias,M,9,8,39
100102,Colton,M,75,16,11
100103,Cameron,M,33,56,68
100104,Carson,M,25,51,18
100105,Addison,F,66,38,0
100106,Aubrey,F,88,41,58
100107,Ellie,F,24,64,91
100108,Robert,M,92,26,29
100109,Stella,F,36,9,32
100110,Natalie,F,81,29,8
100111,Zoe,F,59,20,70
100112,Angel,M,43,78,55
100113,Maverick,M,2,1,38
100114,Leah,F,83,77,43
100115,Hazel,F,37,72,59
100116,Nicholas,M,30,46,23
100117,Violet,F,25,19,32
100118,Aurora,F,12,84,50
100119,Dominic,M,19,74,8
100120,Savannah,F,51,45,97
100121,Jaxson,M,10,39,40
100122,Greyson,M,97,38,19
100123,Adam,M,0,98,70
100124,Ian,M,86,7,28
100125,Audrey,F,30,81,47
100126,Austin,M,19,19,23
100127,Santiago,M,31,47,44
100128,Jordan,M,2,20,74
100129,Brooklyn,F,70,60,26
100130,Bella,F,9,95,71
100131,Cooper,M,53,33,83
100132,Brayden,M,20,63,10
100133,Claire,F,79,51,9
100134,Skylar,F,29,71,33
100135,Roman,M,84,81,77
100136,Evan,M,64,77,35
100137,Lucy,F,26,58,65
100138,Paisley,F,57,57,48
100139,Ezekiel,M,87,18,52
100140,Everly,F,8,73,78
100141,Xavier,M,99,72,46
100142,Jose,M,18,52,16
100143,Jace,M,71,58,36
100144,Jameson,M,6,94,50
100145,Leonardo,M,43,74,6
100146,Bryson,M,11,42,74
100147,Anna,F,57,87,84
100148,Caroline,F,73,94,29
100149,Nova,F,70,80,68
100150,Genesis,F,56,83,56
100151,Axel,M,31,29,52
100152,Emilia,F,63,61,95
100153,Everett,M,52,52,89
100154,Parker,M,45,88,93
100155,Kayden,M,42,38,33
100156,Miles,M,48,65,63
100157,Kennedy,F,13,34,88
100158,Samantha,F,93,82,27
100159,Maya,F,1,89,45
100160,Willow,F,9,48,6
100161,Sawyer,M,95,80,84
100162,Kinsley,F,11,99,37
100163,Jason,M,97,52,42
100164,Naomi,F,17,60,63
100165,Aaliyah,F,41,39,31
100166,Declan,M,30,67,42
100167,Weston,M,93,50,28
100168,Elena,F,16,51,17
100169,Sarah,F,53,98,98
100170,Micah,M,35,16,63
100171,Ariana,F,94,11,2
100172,Allison,F,38,54,51
100173,Gabriella,F,94,20,77
100174,Ayden,M,95,86,17
100175,Alice,F,86,87,8
100176,Madelyn,F,52,12,56
100177,Wesley,M,29,66,50
100178,Luca,M,89,9,75
100179,Cora,F,84,31,73
100180,Ruby,F,14,24,28
100181,Vincent,M,24,4,74
100182,Eva,F,54,28,83
100183,Damian,M,80,16,95
100184,Zachary,M,89,13,97
100185,Serenity,F,64,8,25
100186,Silas,M,65,33,49
100187,Autumn,F,41,7,28
100188,Adeline,F,2,62,4
100189,Hailey,F,56,78,61
100190,Gavin,M,15,74,47
100191,Gianna,F,94,50,77
100192,Chase,M,46,37,65
100193,Kai,M,53,84,33
100194,Valentina,F,24,30,35
100195,Emmett,M,84,0,12
100196,Harrison,M,59,35,58
100197,Isla,F,13,97,74
100198,Eliana,F,49,75,30
100199,Quinn,F,88,75,19
100200,Nevaeh,F,66,11,69
100201,Nathaniel,M,22,90,30
100202,Kingston,M,93,36,87
100203,Cole,M,33,34,40
100204,Tyler,M,96,91,17
100205,Bennett,M,33,55,47
100206,Ivy,F,19,75,52
100207,Bentley,M,84,3,54
100208,Sadie,F,47,94,13
100209,Ryker,M,74,79,56
100210,Piper,F,81,12,89
100211,Tristan,M,49,33,28
100212,Lydia,F,19,8,12
100213,Brandon,M,46,47,72
100214,Kevin,M,65,90,4
100215,Luis,M,4,41,46
100216,George,M,60,12,77
100217,Alexa,F,62,74,31
100218,Ashton,M,35,56,65
100219,Josephine,F,87,43,28
100220,Rowan,M,30,91,41
100221,Emery,F,68,84,92
100222,Braxton,M,40,73,2
100223,Julia,F,67,40,55
100224,Ryder,M,73,12,67
100225,Delilah,F,87,90,84
100226,Arianna,F,36,4,10
100227,Vivian,F,34,28,67
100228,Kaylee,F,86,65,34
100229,Sophie,F,36,36,14
100230,Gael,M,41,63,62
100231,Brielle,F,66,54,70
100232,Madeline,F,46,47,81
100233,Ivan,M,72,95,36
100234,Peyton,F,37,12,84
100235,Rylee,F,82,99,74
100236,Diego,M,5,74,50
100237,Clara,F,39,89,4
100238,Maxwell,M,58,98,33
100239,Hadley,F,31,46,82
100240,Max,M,97,17,20
100241,Melanie,F,5,12,88
100242,Carlos,M,2,67,62
100243,Kaiden,M,70,47,95
100244,Juan,M,58,69,56
100245,Mackenzie,F,35,27,75
100246,Reagan,F,67,70,27
100247,Adalynn,F,98,95,65
100248,Maddox,M,43,84,48
100249,Justin,M,26,60,21
100250,Waylon,M,95,64,21
100251,Liliana,F,1,9,68
100252,Aubree,F,60,11,5
100253,Calvin,M,12,31,12
100254,Giovanni,M,17,25,98
100255,Jonah,M,36,78,49
100256,Jade,F,72,82,90
100257,Katherine,F,72,8,22
100258,Abel,M,51,25,57
100259,Isabelle,F,13,9,33
100260,Jayce,M,32,13,35
100261,Jesus,M,18,57,62
100262,Natalia,F,12,72,5
100263,Raelynn,F,90,54,42
100264,Maria,F,97,18,44
100265,Amir,M,89,49,6
100266,Athena,F,56,93,6
100267,King,M,98,34,15
100268,Beau,M,80,34,75
100269,Ximena,F,40,61,60
100270,Arya,F,77,7,86
100271,Camden,M,42,88,42
100272,Leilani,F,11,99,87
100273,Alex,M,50,13,3
100274,Jasper,M,48,58,41
100275,Taylor,F,74,5,54
100276,Malachi,M,18,8,12
100277,Brody,M,11,78,60
100278,Jude,M,44,49,33
100279,Blake,M,89,0,63
100280,Faith,F,59,2,77
100281,Rose,F,26,26,95
100282,Kylie,F,35,6,74
100283,Emmanuel,M,13,65,96
100284,Alexandra,F,56,10,76
100285,Eric,M,12,26,7
100286,Brooks,M,45,84,36
100287,Elliot,M,58,72,4
100288,Antonio,M,56,20,89
100289,Abraham,M,94,81,51
100290,Timothy,M,84,95,60
100291,Mary,F,9,60,42
100292,Finn,M,86,72,30
100293,Margaret,F,50,46,43
100294,Rhett,M,28,71,97
100295,Lyla,F,29,51,57
100296,Elliott,M,31,31,11
100297,Edward,M,73,71,33
100298,Ashley,F,41,90,88
100299,August,M,43,73,26
100300,Xander,M,96,3,55
100301,Amaya,F,23,94,60
100302,Eliza,F,51,88,23
100303,Alan,M,77,5,17
100304,Dean,M,77,81,94
100305,Lorenzo,M,73,2,21
100306,Brianna,F,74,60,64
100307,Bryce,M,34,87,18
100308,Karter,M,94,77,11
100309,Victor,M,30,7,90
100310,Milo,M,61,57,66
100311,Miguel,M,69,1,51
100312,Hayden,M,76,29,58
100313,Graham,M,84,64,64
100314,Bailey,F,2,25,25
100315,Grant,M,14,87,19
100316,Andrea,F,65,10,44
100317,Zion,M,83,46,88
100318,Tucker,M,97,51,31
100319,Khloe,F,12,27,56
100320,Jasmine,F,54,85,92
100321,Melody,F,56,85,85
100322,Jesse,M,91,13,77
100323,Zayden,M,55,93,72
100324,Joel,M,98,8,87
100325,Richard,M,56,85,32
100326,Patrick,M,23,56,61
100327,Iris,F,6,49,87
100328,Emiliano,M,13,53,31
100329,Avery,M,85,65,84
100330,Nicolas,M,76,52,33
100331,Brantley,M,96,77,94
100332,Dawson,M,5,60,1
100333,Myles,M,56,10,47
100334,Matteo,M,21,89,20
100335,Isabel,F,98,68,38
100336,River,M,37,48,30
100337,Steven,M,10,44,90
100338,Thiago,M,26,55,90
100339,Zane,M,62,19,51
100340,Matias,M,53,33,27
100341,Norah,F,41,3,95
100342,Judah,M,13,58,32
100343,Messiah,M,40,52,84
100344,Annabelle,F,24,55,93
100345,Valeria,F,38,32,8
100346,Jeremy,M,76,26,87
100347,Preston,M,59,19,21
100348,Oscar,M,31,32,23
100349,Emerson,F,89,23,88
100350,Adalyn,F,48,98,39
100351,Ryleigh,F,57,4,97
100352,Kaleb,M,7,24,12
100353,Alejandro,M,52,73,9
100354,Eden,F,30,11,3
100355,Emersyn,F,24,52,29
100356,Anastasia,F,2,45,89
100357,Marcus,M,24,27,68
100358,Kayla,F,94,42,75
100359,Alyssa,F,4,61,41
100360,Mark,M,76,93,72
100361,Juliana,F,60,40,72
100362,Charlie,F,8,71,43
100363,Esther,F,54,63,4
100364,Peter,M,0,87,10
100365,Ariel,F,61,0,94
100366,Maximus,M,59,33,35
100367,Barrett,M,49,59,78
100368,Cecilia,F,76,38,88
100369,Valerie,F,36,79,69
100370,Alina,F,70,79,15
100371,Molly,F,52,47,40
100372,Reese,F,26,83,94
100373,Aliyah,F,93,46,13
100374,Lilly,F,36,47,91
100375,Parker,F,5,26,77
100376,Jax,M,40,63,45
100377,Finley,F,25,85,8
100378,Morgan,F,46,40,58
100379,Sydney,F,24,56,52
100380,Andres,M,67,61,16
100381,Jordyn,F,20,51,1
100382,Eloise,F,96,98,78
100383,Holden,M,78,96,46
100384,Legend,M,31,6,92
100385,Charlie,M,14,99,30
100386,Trinity,F,34,6,52
100387,Daisy,F,50,35,57
100388,Knox,M,29,79,76
100389,Kimberly,F,68,76,64
100390,Lauren,F,33,50,49
100391,Genevieve,F,53,84,43
100392,Sara,F,50,24,86
100393,Kaden,M,63,84,12
100394,Arabella,F,23,77,47
100395,Paxton,M,6,73,50
100396,Kyrie,M,19,78,98
100397,Harmony,F,27,35,76
100398,Kyle,M,9,44,78
100399,Elise,F,7,1,69
100400,Griffin,M,39,69,31
100401,Josue,M,14,5,86
100402,Kenneth,M,84,38,37
100403,Beckett,M,89,2,86
100404,Enzo,M,74,35,77
100405,Remi,F,84,97,44
100406,Teagan,F,34,57,69
100407,Adriel,M,52,40,67
100408,Arthur,M,85,32,74
100409,Alexis,F,27,36,60
100410,Felix,M,88,64,91
100411,Bryan,M,40,89,53
100412,London,F,31,98,45
100413,Lukas,M,82,85,48
100414,Paul,M,9,35,62
100415,Sloane,F,19,6,1
100416,Brian,M,25,49,55
100417,Colt,M,48,97,1
100418,Laila,F,93,71,78
100419,Lucia,F,20,48,70
100420,Diana,F,41,67,12
100421,Juliette,F,8,42,53
100422,Caden,M,62,54,67
100423,Leon,M,82,39,31
100424,Sienna,F,26,34,45
100425,Archer,M,52,99,90
100426,Elliana,F,54,63,77
100427,Londyn,F,5,84,48
100428,Omar,M,44,14,72
100429,Ayla,F,16,6,60
100430,Callie,F,15,55,94
100431,Israel,M,40,61,43
100432,Gracie,F,94,68,69
100433,Josie,F,73,62,88
100434,Amara,F,63,3,27
100435,Jocelyn,F,82,68,23
100436,Daniela,F,76,77,70
100437,Aidan,M,52,31,42
100438,Everleigh,F,71,60,8
100439,Mya,F,41,55,66
100440,Rachel,F,59,58,90
100441,Theo,M,69,72,3
100442,Javier,M,68,23,46
100443,Summer,F,12,98,43
100444,Remington,M,48,0,50
100445,Alana,F,21,84,62
100446,Brooke,F,57,43,10
100447,Alaina,F,0,31,12
100448,Mckenzie,F,16,12,98
100449,Catherine,F,34,15,71
100450,Amy,F,54,25,65
100451,Jaden,M,49,57,47
100452,Presley,F,21,24,80
100453,Bradley,M,44,64,88
100454,Emilio,M,79,79,82
100455,Journee,F,67,79,78
100456,Colin,M,24,7,19
100457,Rosalie,F,7,60,51
100458,Ember,F,54,6,68
100459,Brynlee,F,69,89,87
100460,Riley,M,93,95,59
100461,Cayden,M,10,46,83
100462,Rowan,F,65,47,8
100463,Joanna,F,81,43,22
100464,Phoenix,M,60,24,51
100465,Paige,F,57,76,12
100466,Rebecca,F,70,1,60
100467,Ana,F,18,32,4
100468,Clayton,M,58,90,20
100469,Simon,M,90,64,80
100470,Ace,M,56,71,22
100471,Sawyer,F,22,64,71
100472,Mariah,F,69,42,64
100473,Nicole,F,70,30,84
100474,Brooklynn,F,1,21,94
100475,Payton,F,88,69,74
100476,Marley,F,16,3,9
100477,Fiona,F,20,90,73
100478,Georgia,F,97,38,6
100479,Nash,M,92,29,25
100480,Derek,M,13,55,3
100481,Lila,F,27,35,97
100482,Harley,F,42,98,43
100483,Rafael,M,61,92,0
